job_id,date,technician_id,job_type,task_category,shift_type,estimated_hours,actual_hours,overrun_factor,staffing_ratio,lateness_minutes,day_of_week
J00001,2025-01-06,T006,engine borescope,scheduled,yellow,4.98,3.56,0.7151,0.851,0.4,Monday
J00002,2025-01-06,T001,A-check inspection,scheduled,green,6.34,5.48,0.8652,0.886,0.0,Monday
J00003,2025-01-07,T016,avionics fault isolation,non-routine,pink,3.03,2.92,0.9613,0.981,6.3,Tuesday
J00004,2025-01-07,T022,structural inspection,non-routine,yellow,6.49,5.2,0.8007,0.862,0.6,Tuesday
J00005,2025-01-07,T010,engine borescope,scheduled,pink,4.31,3.61,0.8386,1.016,0.0,Tuesday
J00006,2025-01-07,T024,hydraulic system check,scheduled,yellow,3.6,3.28,0.9091,0.985,7.0,Tuesday
J00007,2025-01-07,T024,landing gear service,scheduled,grey,4.95,3.97,0.8019,0.747,0.3,Tuesday
J00008,2025-01-07,T020,structural inspection,non-routine,green,7.05,7.26,1.0293,0.983,0.9,Tuesday
J00009,2025-01-07,T023,cabin interior repair,non-routine,green,2.56,2.72,1.0647,0.821,1.2,Tuesday
J00010,2025-01-08,T012,landing gear service,scheduled,yellow,5.17,5.57,1.0787,0.888,0.9,Wednesday
J00011,2025-01-08,T004,avionics fault isolation,non-routine,grey,2.8,2.57,0.9173,0.78,8.0,Wednesday
J00012,2025-01-08,T008,landing gear service,scheduled,green,5.32,4.17,0.784,0.857,6.7,Wednesday
J00013,2025-01-08,T013,avionics fault isolation,non-routine,pink,2.95,3.27,1.109,1.001,0.0,Wednesday
J00014,2025-01-09,T013,engine borescope,scheduled,yellow,4.45,4.7,1.0579,0.777,3.9,Thursday
J00015,2025-01-09,T004,landing gear service,scheduled,pink,5.09,4.95,0.9725,1.076,0.1,Thursday
J00016,2025-01-09,T024,avionics fault isolation,non-routine,grey,2.94,2.75,0.9348,0.735,9.2,Thursday
J00017,2025-01-09,T012,wheel and brake change,scheduled,green,2.03,4.23,2.0842,1.001,13.0,Thursday
J00018,2025-01-09,T003,landing gear service,scheduled,grey,4.75,4.35,0.915,0.644,7.3,Thursday
J00019,2025-01-09,T007,hydraulic system check,scheduled,grey,3.48,3.41,0.9806,1.028,6.8,Thursday
J00020,2025-01-10,T003,engine borescope,scheduled,yellow,4.9,4.8,0.9804,0.916,7.9,Friday
J00021,2025-01-10,T021,engine borescope,scheduled,pink,4.34,5.1,1.1762,1.155,1.9,Friday
J00022,2025-01-10,T009,wheel and brake change,scheduled,green,2.09,2.07,0.9891,0.946,2.2,Friday
J00023,2025-01-13,T014,landing gear service,scheduled,grey,5.04,5.62,1.1154,1.089,6.8,Monday
J00024,2025-01-13,T012,A-check inspection,scheduled,yellow,6.39,8.95,1.4003,0.926,0.9,Monday
J00025,2025-01-14,T001,A-check inspection,scheduled,pink,5.95,4.69,0.7888,0.854,13.3,Tuesday
J00026,2025-01-14,T020,avionics fault isolation,non-routine,green,3.1,2.97,0.9589,0.853,3.0,Tuesday
J00027,2025-01-14,T001,A-check inspection,scheduled,pink,6.03,5.9,0.9781,0.977,0.0,Tuesday
J00028,2025-01-14,T008,wheel and brake change,scheduled,yellow,1.88,2.21,1.1777,0.795,1.3,Tuesday
J00029,2025-01-15,T018,wheel and brake change,scheduled,pink,1.97,2.35,1.1962,1.02,8.7,Wednesday
J00030,2025-01-15,T001,hydraulic system check,scheduled,green,3.38,3.64,1.0783,0.873,4.2,Wednesday
J00031,2025-01-16,T022,landing gear service,scheduled,pink,5.47,3.65,0.6679,0.798,4.6,Thursday
J00032,2025-01-17,T017,cabin interior repair,non-routine,pink,2.41,2.43,1.0085,0.822,0.0,Friday
J00033,2025-01-20,T008,structural inspection,non-routine,green,7.75,11.17,1.4422,0.746,0.0,Monday
J00034,2025-01-20,T018,wheel and brake change,scheduled,pink,1.88,2.38,1.2649,0.856,7.7,Monday
J00035,2025-01-20,T017,avionics fault isolation,non-routine,grey,3.12,3.16,1.0149,0.952,4.1,Monday
J00036,2025-01-20,T018,landing gear service,scheduled,pink,4.94,3.9,0.7888,0.868,7.2,Monday
J00037,2025-01-20,T018,hydraulic system check,scheduled,yellow,3.53,3.14,0.8913,0.942,3.3,Monday
J00038,2025-01-20,T015,structural inspection,non-routine,grey,7.11,10.63,1.4952,0.888,16.5,Monday
J00039,2025-01-21,T013,hydraulic system check,scheduled,grey,3.71,2.55,0.6867,0.932,8.4,Tuesday
J00040,2025-01-21,T017,structural inspection,non-routine,grey,7.16,7.93,1.1077,0.767,3.6,Tuesday
J00041,2025-01-22,T022,landing gear service,scheduled,yellow,5.07,4.88,0.961,0.855,0.0,Wednesday
J00042,2025-01-22,T024,hydraulic system check,scheduled,pink,3.23,3.04,0.9396,1.004,4.4,Wednesday
J00043,2025-01-22,T023,cabin interior repair,non-routine,pink,2.66,3.88,1.4557,0.97,14.7,Wednesday
J00044,2025-01-22,T016,landing gear service,scheduled,yellow,5.44,4.59,0.845,0.953,7.1,Wednesday
J00045,2025-01-22,T005,cabin interior repair,non-routine,pink,2.62,1.99,0.7588,0.759,9.9,Wednesday
J00046,2025-01-22,T012,wheel and brake change,scheduled,yellow,2.08,1.56,0.7537,1.118,6.7,Wednesday
J00047,2025-01-23,T009,hydraulic system check,scheduled,pink,3.55,2.14,0.6028,1.039,9.0,Thursday
J00048,2025-01-23,T005,cabin interior repair,non-routine,yellow,2.51,1.22,0.4876,0.95,11.1,Thursday
J00049,2025-01-23,T013,wheel and brake change,scheduled,grey,1.84,2.24,1.2143,1.077,7.8,Thursday
J00050,2025-01-23,T001,wheel and brake change,scheduled,grey,2.08,2.27,1.0921,1.028,7.2,Thursday
J00051,2025-01-23,T022,avionics fault isolation,non-routine,grey,2.98,3.42,1.1483,0.882,7.9,Thursday
J00052,2025-01-23,T009,hydraulic system check,scheduled,green,3.48,2.81,0.808,1.078,0.0,Thursday
J00053,2025-01-23,T019,structural inspection,non-routine,yellow,7.0,9.37,1.3372,1.059,7.3,Thursday
J00054,2025-01-24,T005,landing gear service,scheduled,yellow,4.89,2.72,0.5562,0.913,9.5,Friday
J00055,2025-01-24,T018,avionics fault isolation,non-routine,grey,2.88,2.73,0.9472,0.953,8.6,Friday
J00056,2025-01-24,T006,hydraulic system check,scheduled,pink,3.1,2.93,0.9463,0.907,3.6,Friday
J00057,2025-01-27,T014,wheel and brake change,scheduled,grey,1.93,2.65,1.3713,0.878,7.0,Monday
J00058,2025-01-27,T025,A-check inspection,scheduled,grey,6.16,7.02,1.1401,0.868,5.4,Monday
J00059,2025-01-27,T016,hydraulic system check,scheduled,grey,3.24,3.45,1.0637,0.62,2.6,Monday
J00060,2025-01-27,T014,wheel and brake change,scheduled,grey,2.02,2.21,1.0939,1.031,12.6,Monday
J00061,2025-01-28,T003,cabin interior repair,non-routine,pink,2.46,1.98,0.8073,0.996,14.6,Tuesday
J00062,2025-01-28,T003,hydraulic system check,scheduled,pink,3.32,2.43,0.7314,0.957,5.3,Tuesday
J00063,2025-01-28,T013,engine borescope,scheduled,green,4.38,4.71,1.0744,0.772,0.0,Tuesday
J00064,2025-01-28,T021,avionics fault isolation,non-routine,yellow,3.05,2.77,0.907,0.943,9.6,Tuesday
J00065,2025-01-28,T005,hydraulic system check,scheduled,yellow,3.44,2.65,0.7688,1.034,4.9,Tuesday
J00066,2025-01-29,T016,wheel and brake change,scheduled,green,2.11,1.89,0.8969,0.799,4.7,Wednesday
J00067,2025-01-29,T022,landing gear service,scheduled,pink,4.6,3.65,0.7941,0.651,0.4,Wednesday
J00068,2025-01-29,T023,avionics fault isolation,non-routine,green,3.29,4.11,1.2501,1.033,0.0,Wednesday
J00069,2025-01-30,T019,avionics fault isolation,non-routine,grey,3.21,3.53,1.0974,0.911,8.9,Thursday
J00070,2025-01-30,T017,cabin interior repair,non-routine,yellow,2.4,2.82,1.174,0.952,0.0,Thursday
J00071,2025-01-30,T019,structural inspection,non-routine,grey,6.9,9.14,1.3244,0.954,4.5,Thursday
J00072,2025-01-30,T013,A-check inspection,scheduled,yellow,5.9,8.03,1.3607,0.661,0.0,Thursday
J00073,2025-01-30,T022,engine borescope,scheduled,pink,4.16,6.53,1.5695,0.544,3.3,Thursday
J00074,2025-01-30,T022,landing gear service,scheduled,grey,4.86,3.95,0.8125,0.956,0.0,Thursday
J00075,2025-01-30,T021,cabin interior repair,non-routine,green,2.6,2.18,0.8406,0.941,6.3,Thursday
J00076,2025-01-31,T021,avionics fault isolation,non-routine,pink,3.02,2.65,0.8763,0.931,13.8,Friday
J00077,2025-01-31,T002,engine borescope,scheduled,pink,4.6,3.61,0.784,0.712,9.2,Friday
J00078,2025-01-31,T014,wheel and brake change,scheduled,yellow,1.76,1.6,0.9098,0.806,0.0,Friday
J00079,2025-01-31,T015,cabin interior repair,non-routine,yellow,2.47,2.09,0.8472,0.881,4.0,Friday
J00080,2025-01-31,T022,cabin interior repair,non-routine,yellow,2.58,2.54,0.9836,0.946,5.8,Friday
J00081,2025-01-31,T010,structural inspection,non-routine,green,6.89,4.73,0.6865,0.81,0.0,Friday
J00082,2025-01-31,T005,hydraulic system check,scheduled,green,3.41,2.82,0.8263,0.793,2.6,Friday
J00083,2025-02-03,T022,A-check inspection,scheduled,yellow,6.16,5.6,0.9079,0.923,0.0,Monday
J00084,2025-02-03,T021,landing gear service,scheduled,green,4.78,6.27,1.3123,0.923,0.0,Monday
J00085,2025-02-03,T011,landing gear service,scheduled,grey,5.09,5.3,1.0417,0.611,0.2,Monday
J00086,2025-02-04,T002,landing gear service,scheduled,grey,4.69,2.88,0.6137,0.93,15.1,Tuesday
J00087,2025-02-04,T022,A-check inspection,scheduled,yellow,5.84,3.54,0.605,0.998,4.2,Tuesday
J00088,2025-02-04,T014,engine borescope,scheduled,green,4.37,4.35,0.9952,1.053,0.0,Tuesday
J00089,2025-02-04,T008,wheel and brake change,scheduled,green,2.04,1.52,0.744,0.698,5.7,Tuesday
J00090,2025-02-04,T007,wheel and brake change,scheduled,yellow,1.86,1.42,0.7658,0.954,0.0,Tuesday
J00091,2025-02-05,T024,hydraulic system check,scheduled,pink,3.51,3.64,1.0378,0.932,2.9,Wednesday
J00092,2025-02-05,T019,structural inspection,non-routine,green,6.86,4.27,0.6229,1.064,0.0,Wednesday
J00093,2025-02-06,T007,wheel and brake change,scheduled,grey,2.06,2.36,1.149,0.963,0.0,Thursday
J00094,2025-02-06,T005,hydraulic system check,scheduled,grey,3.53,3.05,0.8635,0.86,5.3,Thursday
J00095,2025-02-06,T012,wheel and brake change,scheduled,grey,1.83,2.87,1.5712,0.92,4.0,Thursday
J00096,2025-02-06,T017,avionics fault isolation,non-routine,pink,3.25,3.54,1.0879,0.768,8.9,Thursday
J00097,2025-02-06,T014,landing gear service,scheduled,grey,5.3,5.87,1.1064,0.861,0.0,Thursday
J00098,2025-02-07,T025,wheel and brake change,scheduled,grey,1.95,1.96,1.0086,0.592,9.9,Friday
J00099,2025-02-07,T018,avionics fault isolation,non-routine,grey,3.13,2.96,0.9485,0.942,17.9,Friday
