seed,model,rmse_no_holdout,rmse_with_holdout,mae_no_holdout,mae_with_holdout,mape_no_holdout,mape_with_holdout
42,Linear Regression,0.2982786191350618,0.3038933342643766,0.2301062884545114,0.23320087559094663,18.502080589030275,18.684281192369067
42,Random Forest,0.2877004831389587,0.28530759638323183,0.22378499811973174,0.22566574277141943,17.898757253401847,18.33397811718987
42,XGBoost,0.2923816697918537,0.2946821167629252,0.23032354956025625,0.2370088554670506,19.066624069988986,19.848538382090915
7,Linear Regression,0.28662088663068724,0.29023133871670154,0.23248027916650932,0.23820684271623155,20.384896205633734,21.01204105890678
7,Random Forest,0.2814690875871224,0.28842782561357083,0.22648720552831364,0.23557648686689722,19.884366857691468,20.75246041933874
7,XGBoost,0.28551935537285245,0.2898014795402994,0.23226604844452417,0.24107158865430903,20.61856849640345,22.071832381036575
123,Linear Regression,0.34787616925021886,0.350901298887605,0.2700298807258521,0.275566253489547,21.218217854030268,22.34338140585914
123,Random Forest,0.3392217452236414,0.3392000322639761,0.26997244079702676,0.2719202928014762,21.434096223322253,22.492868099410256
123,XGBoost,0.3390705106935942,0.3379028316767722,0.2709386751670471,0.2721674083916158,21.89457841107421,22.76684926649492
2024,Linear Regression,0.3460137936580759,0.34805630679282973,0.2683176598962629,0.26806146364326067,21.00355165915716,20.752968820113267
2024,Random Forest,0.3420448542685167,0.3527709208586532,0.27234182223437037,0.278106118322448,21.888335190452025,22.098544696699097
2024,XGBoost,0.3368886713442808,0.3471832103503665,0.2691423639284802,0.2768070012170985,21.944187394341437,22.74545212103369
31415,Linear Regression,0.3618579795944553,0.36138990665708876,0.29031659466745313,0.2929482038660679,25.62424206858891,26.17296881965555
31415,Random Forest,0.36229449824415333,0.3663560162666567,0.29215170179377736,0.30071119311838834,26.565406855356922,27.50048074094516
31415,XGBoost,0.36981134206457716,0.3800159003674429,0.3013137150804888,0.31805993640159674,27.457235578213147,29.721881916243703
8675309,Linear Regression,0.3303867704182554,0.3324026163784964,0.2561203238071715,0.25722283149413017,21.72014993530657,21.67587044407803
8675309,Random Forest,0.3379957577767172,0.3427552845216357,0.2632843880529565,0.2672282972303714,22.602862635613274,22.93587413336364
8675309,XGBoost,0.33621246156495316,0.3404589298239154,0.26537556128732015,0.2707581470998857,23.49647243785083,24.495842276225087
271828,Linear Regression,0.30881274241109313,0.32027607989034884,0.2599702092517195,0.2663713813138585,25.25146156004484,26.284059519111402
271828,Random Forest,0.3031630273363137,0.32611587391709634,0.25110550281699145,0.27430042547579014,24.66248238960274,27.387855731616767
271828,XGBoost,0.314792572407945,0.32968929660196367,0.2652260063826682,0.27581906687503316,26.248645638297685,27.7390841572195
90210,Linear Regression,0.3383237258219324,0.34237473748678043,0.26421452499188075,0.26595873358621913,19.813138182983312,19.943970910703523
90210,Random Forest,0.33215309809196025,0.3271386046452888,0.26423576215769634,0.25593754980213373,19.896916748209183,19.8170956221443
90210,XGBoost,0.33356762913646076,0.32891951676740977,0.2667674852938491,0.2605550548117658,20.187727268695184,20.183751239255674
555,Linear Regression,0.3419228312069663,0.34087909385467974,0.27112352385768634,0.2743685064091089,21.198707519670947,21.788756939420413
555,Random Forest,0.3447923181749313,0.3399111336899647,0.26839525756684046,0.2734139905478115,20.27762563803147,21.544045666531915
555,XGBoost,0.3449360190498688,0.34944479959920977,0.27293276906609676,0.27446785583420935,20.712762101167325,20.901281466165287
1001,Linear Regression,0.3195508335112034,0.3233783027580801,0.2371428478154492,0.23926009760334674,19.677414118277323,19.82324051677897
1001,Random Forest,0.3232965492691448,0.3527254235735151,0.24234842572767296,0.2668125387032831,20.978292273085636,23.41120796270462
1001,XGBoost,0.3257452896606356,0.3382248030394946,0.24169076778520635,0.2550537346704162,20.73234210465433,22.407917814477017
